,language,question_id,question_name,question_text,instruction,question_type,question_category,option_id,question_choice
135,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900473.0,1993
136,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900474.0,1994
137,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900475.0,1995
138,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900476.0,1996
139,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900477.0,1997
140,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900478.0,1998
141,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900479.0,1999
142,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900480.0,2000
143,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900481.0,2001
144,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900482.0,2002
145,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900483.0,2003
146,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900484.0,2004
147,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900485.0,2005
148,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900486.0,2006
149,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900487.0,2007
150,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900488.0,2008
151,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900489.0,2009
152,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900490.0,2010
153,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900491.0,2011
154,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900492.0,2012
155,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900494.0,2013
156,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900495.0,2014
157,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,6381778.0,2015
158,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,12190142.0,2016
159,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,19724305.0,2017
160,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,27344656.0,2018
161,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,38523797.0,2019
162,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,69396352.0,2020
163,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,81896432.0,2021
164,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,107401072.0,2022
165,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900467.0,I don't own/lease a car
166,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900493.0,Prefer not to say
167,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900497.0,Pre-1980s
168,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900498.0,1980s
169,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900499.0,1990
170,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900500.0,1991
171,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900501.0,1992
172,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900502.0,1993
173,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900503.0,1994
174,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900504.0,1995
175,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900505.0,1996
176,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900506.0,1997
177,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900507.0,1998
178,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900508.0,1999
179,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900509.0,2000
180,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900510.0,2001
181,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900511.0,2002
182,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900512.0,2003
183,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900513.0,2004
184,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900514.0,2005
185,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900515.0,2006
186,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900516.0,2007
187,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900517.0,2008
188,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900518.0,2009
189,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900519.0,2010
190,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900520.0,2011
191,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900521.0,2012
192,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900523.0,2013
193,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900524.0,2014
194,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,6382501.0,2015
195,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,12192341.0,2016
196,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,19730000.0,2017
197,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,27348681.0,2018
198,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,38530754.0,2019
199,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,71887136.0,2020
200,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,90008549.0,2021
201,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,107383925.0,2022
202,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900496.0,I don't own/lease a car
203,english,PQ_202869,In which year did you purchase/lease your main car?,In which year did you purchase/lease your main car?,,1,2,2900522.0,Prefer not to say
208,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900530.0,2011
209,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900531.0,2012
210,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900532.0,2013
211,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900533.0,2014
212,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900535.0,2015
213,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900536.0,2016
214,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900537.0,2017
215,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900538.0,2018
216,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,6383555.0,2019
217,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,6384756.0,2020
218,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,12196238.0,2021
219,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,19735784.0,2022
220,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,71948089.0,2023
221,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,90077752.0,2024
222,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900529.0,Undecided / Don't know
223,english,PQ_202871,When do you estimate that you will purchase/lease your next car?,When do you estimate that you will purchase/lease your next car?,,1,2,2900534.0,Prefer not to say
224,english,PQ_202872,Do you own a motorcycle?,Do you own a motorcycle?,,1,2,2900539.0,Yes
225,english,PQ_202872,Do you own a motorcycle?,Do you own a motorcycle?,,1,2,2900540.0,No
226,english,PQ_202872,Do you own a motorcycle?,Do you own a motorcycle?,,1,2,2900541.0,Prefer not to say
233,english,PQ_580351,How many cars are there in your household (including leasing or company cars)?,How many cars are there in your household (including leasing or company cars)?,,1,2,17012116.0,0
234,english,PQ_580351,How many cars are there in your household (including leasing or company cars)?,How many cars are there in your household (including leasing or company cars)?,,1,2,17012117.0,1
235,english,PQ_580351,How many cars are there in your household (including leasing or company cars)?,How many cars are there in your household (including leasing or company cars)?,,1,2,17012118.0,2
236,english,PQ_580351,How many cars are there in your household (including leasing or company cars)?,How many cars are there in your household (including leasing or company cars)?,,1,2,17012119.0,3 or more
237,english,PQ_580351,How many cars are there in your household (including leasing or company cars)?,How many cars are there in your household (including leasing or company cars)?,,1,2,17012120.0,Prefer not to say
282,english,PQ_1015776,Are you considering buying or leasing a new or used car within the next 2 years?,Are you considering buying or leasing a new or used car within the next 2 years?,,1,2,35999760.0,I do not know
295,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900851.0,I don't play video/computer games
296,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900852.0,Windows based desktop/laptop
297,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900855.0,Microsoft Xbox
298,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900853.0,Apple based desktop/laptop
299,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900854.0,Apple based mobile device (iPod/iPad/iPhone)
300,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900862.0,Nintendo 64
301,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900857.0,Nintendo DS/Lite
302,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900856.0,Microsoft Xbox 360
303,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900860.0,Nintendo Game Boy Advance/SP
304,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900861.0,Nintendo Game Boy/Color
305,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900859.0,Nintendo 3DS/2DS
306,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900863.0,Nintendo GameCube
307,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900864.0,Nintendo Wii
308,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,4648115.0,Sega Dreamcast
309,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900866.0,Sony PlayStation
310,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900867.0,Sony PlayStation 2
311,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900865.0,Nintendo Wii U
312,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900869.0,Sony PSP
313,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900858.0,Nintendo DSI/DSI XL
314,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900868.0,Sony PlayStation 3
315,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900870.0,Sony PSP Go
316,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900873.0,Sony PlayStation Vita
317,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900874.0,Sony PlayStation 4
318,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900875.0,Microsoft Xbox One
319,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,7041142.0,Nintendo New 3DS/3DS XL
320,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,20943351.0,Nintendo Switch
321,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,29969419.0,Android based device (Phone/Tablet/TV)
322,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,77176453.0,Windows Based Mobile Device (phone/tablet)
323,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,87563882.0,Play Station 5
324,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,87578270.0,Xbox Series X
325,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,87592400.0,Xbox One S
326,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900871.0,Other
327,english,PQ_202898,Which gaming platforms do you regularly use?,Which gaming platforms do you regularly use?,,2,3,2900872.0,Prefer not to say
328,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900876.0,I don't play video/computer games
329,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900877.0,First Person Shooter/Action (e.g. Call of Duty)
330,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900878.0,3rd Person Shooter/Action (e.g. Gears of War)
331,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900879.0,3rd Person Adventure (e.g. Super Mario Galaxy)
332,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900880.0,Point & Click Adventure (e.g. Monkey Island)
333,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900881.0,Life Simulations (e.g. The Sims)
334,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900882.0,Music and Dance (e.g. Rockband)
335,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900883.0,Sports (e.g. FIFA)
336,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900884.0,Real Time Strategy/RTS (e.g. Command & Conquer)
337,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900885.0,Role Playing Game/RPG (e.g. Final Fantasy)
338,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900886.0,Massively Multiplayer Online/MMO (e.g. WoW)
339,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900887.0,Vehicle Racing (e.g. Need for Speed)
340,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900888.0,Flight Simulation (e.g. MS Flight Simulator)
341,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900889.0,Fighting (e.g. Street Fighter)
342,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900890.0,Puzzle (e.g. Professor Layton)
343,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900891.0,Party Games (e.g. Wii Sports)
344,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900892.0,Casual (e.g. Facebook games)
345,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900893.0,Other
346,english,PQ_202899,What kind(s) of video/computer games do you play?,What kind(s) of video/computer games do you play?,,2,3,2900894.0,Prefer not to say
347,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900895.0,None
348,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900896.0,Less than 1 hour
349,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900897.0,1 to 3 hours
350,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900898.0,4 to 10 hours
351,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900899.0,11 to 15 hours
352,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900900.0,16 to 20 hours
353,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900901.0,21 to 25 hours
354,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900902.0,More than 25 hours
355,english,PQ_202900,How many hours per week do you spend playing video/computer games?,How many hours per week do you spend playing video/computer games?,,1,3,2900903.0,Prefer not to say
356,english,PQ_202901,How do you play video/computer games?,How do you play video/computer games?,,1,3,2900904.0,I don't play video/computer games
357,english,PQ_202901,How do you play video/computer games?,How do you play video/computer games?,,1,3,2900905.0,Alone
358,english,PQ_202901,How do you play video/computer games?,How do you play video/computer games?,,1,3,2900906.0,With others in the same room/house
359,english,PQ_202901,How do you play video/computer games?,How do you play video/computer games?,,1,3,2900907.0,With others through an Internet connection
360,english,PQ_202901,How do you play video/computer games?,How do you play video/computer games?,,1,3,2900908.0,Prefer not to say
361,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900909.0,I don't play video/computer games
362,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900910.0,Games Console
363,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900911.0,Computer or Laptop
364,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900912.0,Portable Gaming Device
365,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900913.0,Cellphone/Smartphone or other Handheld Organizer
366,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900914.0,Other
367,english,PQ_202902,Which of the following devices do you use to play games?,Which of the following devices do you use to play games?,,2,3,2900915.0,Prefer not to say
380,english,PQ_202904,Do you participate in online or virtual gaming playing others in a live environment around the globe (e.g. Xbox Live or World of Warcraft)?,Do you participate in online or virtual gaming playing others in a live environment around the globe (e.g. Xbox Live or World of Warcraft)?,,1,3,2900928.0,Prefer not to say
381,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900068.0,I'm not studying/haven't studied at univ./college
382,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900069.0,Economics/Trade/Business Administration
383,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900070.0,Nature Sciences/Engineering/Mathematics
384,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900071.0,IT
385,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900072.0,Law
386,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900073.0,Medical
387,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900074.0,Social Sciences
388,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900075.0,Humanities/Languages
389,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900076.0,Music/Arts
390,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900077.0,International Relations/Political science
391,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,6571226.0,Media
392,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900078.0,Other
393,english,PQ_202846,What is/was your degree at university/college?,What is/was your degree at university/college?,,1,4,2900079.0,Prefer not to say
401,english,PQ_202848,What year will/did you graduate from university/college?,What year will/did you graduate from university/college?,,1,4,2900087.0,I'm not studying/haven't studied
402,english,PQ_202848,What year will/did you graduate from university/college?,What year will/did you graduate from university/college?,,1,4,2900088.0,1990 or earlier
403,english,PQ_202848,What year will/did you graduate from university/college?,What year will/did you graduate from university/college?,,1,4,2900089.0,1991
404,english,PQ_202848,What year will/did you graduate from university/college?,What year will/did you graduate from university/college?,,1,4,2900090.0,1992
405,english,PQ_202848,What year will/did you graduate from university/college?,What year will/did you graduate from university/college?,,1,4,2900091.0,1993
406,english,PQ_202848,What year will/did you graduate from university/college?,What year will/did you graduate from university/college?,,1,4,2900092.0,1994
